,0,1,2
485,-2.856,-3.527,-0.611
486,-2.856,-2.381,-0.594
487,-2.937,-3.634,-0.866
488,-2.849,-2.375,-0.78
489,-2.338,-2.902,-0.884
490,-0.0,-0.0,-0.0
491,-1.93,-2.405,-0.896
492,-0.379,-0.315,-0.156
493,-0.309,-0.386,-0.171
494,-0.348,-0.29,-0.168
495,-0.279,-0.351,-0.18
496,-0.0,-0.0,-0.0
497,-0.242,-0.305,-0.18
498,-0.0,-0.0,-0.0
499,-0.207,-0.263,-0.176
500,-0.0,-0.0,-0.0
501,-0.0,-0.0,-0.0
502,-0.0,-0.0,-0.0
503,-0.0,-0.0,-0.0
504,-0.0,-0.0,-0.0
505,-0.0,-0.0,-0.0
506,-0.0,-0.0,-0.0
507,-0.0,-0.0,-0.0
508,-0.0,-0.0,-0.0
509,-0.0,-0.0,-0.0
510,-0.0,-0.0,-0.0
511,-0.0,-0.0,-0.0
512,-3.051,-2.4,3.906
513,-1.84,-2.396,2.921
514,-3.063,-2.426,3.543
515,-2.821,-3.632,4.003
516,-3.073,-2.449,3.208
517,-3.153,-4.016,3.999
518,-3.129,-2.505,2.942
519,-3.273,-4.132,3.707
520,-4.756,-3.824,4.016
521,-3.314,-4.153,3.344
522,-5.277,-4.258,3.985
523,-3.358,-4.18,3.006
524,-5.359,-4.339,3.597
525,-3.942,-4.88,3.111
526,-5.368,-4.357,3.176
527,-4.917,-6.058,3.391
528,-5.991,-4.876,3.091
529,-0.0,-0.0,0.0
530,-6.217,-5.072,2.758
531,-6.47,-7.916,3.273
532,-7.752,-6.333,2.895
533,-0.0,-0.0,0.0
534,-7.739,-6.336,2.368
535,-6.956,-8.471,2.344
536,-7.763,-6.362,1.862
537,-7.001,-8.514,1.795
538,-13.729,-11.264,2.404
539,-7.017,-8.527,1.243
540,-4.927,-4.047,0.549
541,-4.759,-5.78,0.472
542,-4.945,-4.066,0.237
543,-3.544,-4.307,0.077
544,-4.946,-4.069,-0.075
545,-2.832,-3.444,-0.158
546,-2.858,-2.353,-0.224
547,-2.849,-3.468,-0.38
548,-2.918,-2.402,-0.415
549,-2.856,-3.482,-0.606
550,-2.969,-2.445,-0.614
551,-2.966,-3.624,-0.868
552,-3.068,-2.525,-0.836
553,-2.358,-2.891,-0.885
554,-0.417,-0.343,-0.142
555,-1.955,-2.406,-0.901
556,-0.381,-0.313,-0.156
557,-0.31,-0.383,-0.17
558,-0.351,-0.288,-0.169
559,-0.281,-0.348,-0.18
560,-0.0,-0.0,-0.0
561,-0.243,-0.303,-0.18
562,-0.0,-0.0,-0.0
563,-0.0,-0.0,-0.0
564,-0.0,-0.0,-0.0
565,-0.0,-0.0,-0.0
566,-0.0,-0.0,-0.0
567,-0.0,-0.0,-0.0
568,-0.0,-0.0,-0.0
569,-0.0,-0.0,-0.0
570,-0.0,-0.0,-0.0
571,-0.0,-0.0,-0.0
572,-0.0,-0.0,-0.0
573,-0.0,-0.0,-0.0
574,-0.0,-0.0,-0.0
575,-0.0,-0.0,-0.0
576,-3.073,-2.387,3.915
577,-1.855,-2.386,2.921
578,-3.101,-2.425,3.57
579,-2.84,-3.609,3.998
580,-3.113,-2.449,3.234
581,-3.182,-4.003,4.005
582,-3.16,-2.498,2.956
583,-3.311,-4.128,3.722
584,-4.801,-3.812,4.035
585,-3.362,-4.161,3.367
586,-5.32,-4.239,3.997
587,-3.391,-4.168,3.013
588,-5.43,-4.342,3.627
589,-3.989,-4.876,3.124
590,-5.366,-4.301,3.159
591,-4.99,-6.072,3.416
592,-6.033,-4.848,3.097
593,-0.0,-0.0,0.0
594,-6.221,-5.012,2.746
595,-6.561,-7.927,3.294
596,-7.719,-6.228,2.868
597,-0.0,-0.0,0.0
598,-7.738,-6.256,2.356
599,-7.023,-8.445,2.349
600,-7.759,-6.28,1.852
601,-7.091,-8.515,1.805
602,-13.927,-11.284,2.427
603,-7.119,-8.543,1.251
604,-4.921,-3.992,0.545
605,-4.78,-5.734,0.471
606,-4.941,-4.012,0.236
607,-3.557,-4.269,0.077
608,-4.956,-4.027,-0.075
609,-2.83,-3.399,-0.157
610,-4.954,-4.027,-0.387
611,-2.85,-3.427,-0.377
612,-4.959,-4.031,-0.702
613,-2.855,-3.439,-0.602
614,-3.059,-2.488,-0.629
615,-2.978,-3.594,-0.865
616,-3.083,-2.506,-0.836
617,-2.377,-2.879,-0.885
618,-0.428,-0.348,-0.145
619,-1.966,-2.389,-0.899
620,-0.389,-0.316,-0.158
621,-0.316,-0.385,-0.172
622,-0.351,-0.285,-0.168
623,-0.283,-0.347,-0.18
624,-0.0,-0.0,-0.0
625,-0.244,-0.301,-0.179
626,-0.0,-0.0,-0.0
627,-0.0,-0.0,-0.0
628,-0.0,-0.0,-0.0
629,-0.0,-0.0,-0.0
630,-0.0,-0.0,-0.0
631,-0.0,-0.0,-0.0
632,-0.0,-0.0,-0.0
633,-0.0,-0.0,-0.0
634,-0.0,-0.0,-0.0
635,-0.0,-0.0,-0.0
636,-0.0,-0.0,-0.0
637,-0.0,-0.0,-0.0
638,-0.0,-0.0,-0.0
639,-0.0,-0.0,-0.0
640,-3.092,-2.371,3.921
641,-1.868,-2.373,2.92
642,-3.145,-2.429,3.603
643,-2.859,-3.588,3.994
644,-3.175,-2.466,3.282
645,-3.208,-3.985,4.007
646,-3.186,-2.487,2.967
647,-3.354,-4.129,3.742
648,-3.544,-2.778,2.964
649,-3.417,-4.175,3.396
650,-5.348,-4.208,3.999
651,-3.444,-4.18,3.037
652,-5.507,-4.348,3.66
653,-4.045,-4.883,3.145
654,-5.0,-3.958,2.929
655,-5.046,-6.063,3.428
656,-6.061,-4.81,3.096
657,-5.043,-6.037,2.958
658,-6.238,-4.963,2.74
659,-6.643,-7.926,3.311
660,-7.741,-6.167,2.862
661,-6.497,-7.73,2.689
662,-7.748,-6.186,2.347
663,-7.079,-8.407,2.35
664,-7.76,-6.203,1.843
665,-7.189,-8.527,1.816
666,-0.0,-0.0,0.0
667,-7.203,-8.537,1.257
668,-4.929,-3.948,0.544
669,-4.786,-5.67,0.468
670,-4.943,-3.963,0.235
671,-3.578,-4.241,0.077
672,-4.963,-3.983,-0.074
673,-2.833,-3.36,-0.156
674,-4.955,-3.978,-0.385
675,-2.853,-3.388,-0.375
676,-4.962,-3.983,-0.699
677,-2.859,-3.401,-0.598
678,-3.08,-2.473,-0.631
679,-2.985,-3.558,-0.861
680,-3.106,-2.493,-0.838
681,-2.398,-2.868,-0.886
682,-0.0,-0.0,-0.0
683,-1.973,-2.368,-0.896
684,-0.0,-0.0,-0.0
685,-0.317,-0.382,-0.171
686,-0.352,-0.282,-0.168
687,-0.285,-0.345,-0.18
688,-0.0,-0.0,-0.0
689,-0.239,-0.29,-0.174
690,-0.0,-0.0,-0.0
691,-0.0,-0.0,-0.0
692,-0.0,-0.0,-0.0
693,-0.0,-0.0,-0.0
694,-0.0,-0.0,-0.0
695,-0.0,-0.0,-0.0
696,-0.0,-0.0,-0.0
697,-0.0,-0.0,-0.0
698,-0.0,-0.0,-0.0
699,-0.0,-0.0,-0.0
700,-0.0,-0.0,-0.0
701,-0.0,-0.0,-0.0
702,-0.0,-0.0,-0.0
703,-0.0,-0.0,-0.0
704,-3.11,-2.355,3.925
705,-1.885,-2.364,2.923
706,-3.204,-2.443,3.653
707,-2.878,-3.567,3.99
708,-3.212,-2.464,3.305
709,-3.235,-3.968,4.01
710,-3.211,-2.475,2.976
711,-3.393,-4.125,3.757
712,-3.553,-2.75,2.957
713,-3.457,-4.172,3.411
714,-5.379,-4.179,4.002
715,-3.491,-4.184,3.055
716,-5.585,-4.355,3.695
717,-4.084,-4.869,3.152
718,-4.934,-3.856,2.876
719,-5.091,-6.042,3.434
720,-6.079,-4.763,3.09
721,-5.186,-6.131,3.02
722,-6.271,-4.926,2.741
723,-6.718,-7.917,3.324
724,-7.768,-6.111,2.858
725,-6.544,-7.69,2.689
726,-7.75,-6.11,2.337
727,-7.142,-8.378,2.354
728,-7.768,-6.131,1.836
729,-7.27,-8.516,1.823
730,-0.0,-0.0,0.0
731,-7.286,-8.529,1.262
732,-4.941,-3.908,0.542
733,-4.783,-5.596,0.464
734,-4.945,-3.916,0.233
735,-3.639,-4.26,0.077
736,-4.961,-3.931,-0.074
737,-2.838,-3.324,-0.155
738,-4.963,-3.934,-0.384
739,-2.856,-3.349,-0.373
740,-4.973,-3.942,-0.697
741,-2.863,-3.363,-0.595
742,-3.093,-2.452,-0.63
743,-3.011,-3.545,-0.862
744,-3.109,-2.464,-0.835
745,-2.414,-2.851,-0.886
746,-0.0,-0.0,-0.0
747,-1.979,-2.346,-0.892
748,-0.0,-0.0,-0.0
749,-0.0,-0.0,-0.0
750,-0.351,-0.277,-0.166
751,-0.282,-0.337,-0.177
752,-0.0,-0.0,-0.0
753,-0.247,-0.297,-0.178
754,-0.0,-0.0,-0.0
755,-0.0,-0.0,-0.0
756,-0.0,-0.0,-0.0
757,-0.0,-0.0,-0.0
758,-0.0,-0.0,-0.0
759,-0.0,-0.0,-0.0
760,-0.0,-0.0,-0.0
761,-0.0,-0.0,-0.0
762,-0.0,-0.0,-0.0
763,-0.0,-0.0,-0.0
764,-0.0,-0.0,-0.0
765,-0.0,-0.0,-0.0
766,-0.0,-0.0,-0.0
767,-0.0,-0.0,-0.0
768,-3.14,-2.347,3.945
769,-1.909,-2.364,2.937
770,-3.227,-2.429,3.662
771,-2.154,-2.636,2.963
772,-3.256,-2.466,3.335
